cluster	gene	log2fc	pval	padj	significant
3	ENSG00000234918.1	0.9868689200993519	3.375205985225371e-27	1.165281702127325e-25	True
3	ENSG00000252621.1	0.9867521010940872	3.583615401201409e-28	1.3150762869744554e-26	True
3	ENSG00000168079.17	0.9843548132417035	8.07281246891609e-65	4.25823308143e-62	True
3	ENSG00000214100.8	0.9800685466253609	4.043928646972443e-42	3.699920237184742e-40	True
3	ENSG00000065618.21	0.9722058377026654	1.42963885865122e-66	8.849172772018674e-64	True
3	ENSG00000111404.7	0.9690356370508563	1.2677659722680403e-72	1.37384985651484e-69	True
3	ENSG00000124143.10	0.9544679117543677	8.254802705431042e-38	5.809006172986624e-36	True
4	ENSG00000137975.8	1.456820494461533	1.031798330531971e-37	8.941269532867051e-34	True
4	ENSG00000172551.11	1.2294203347034613	6.94002024415873e-28	5.84696705570373e-25	True
4	ENSG00000229453.2	1.0947213351222504	2.998681717695388e-31	4.330953166557196e-28	True
4	ENSG00000187527.11	1.0625251341315611	1.635230844963342e-32	3.3064367685158774e-29	True
4	ENSG00000105141.6	1.059582389722415	5.971911590845065e-19	7.047785157600421e-17	True
4	ENSG00000172478.18	1.0576867839252184	7.734604788889879e-31	1.0426247255423556e-27	True
4	ENSG00000198535.5	1.0528758099360807	2.3196318239381743e-27	1.737146499260366e-24	True
4	ENSG00000244468.1	1.0523114195941181	9.406126527877927e-23	2.605368197173859e-20	True
4	ENSG00000162670.11	1.034683575706516	1.113169380920532e-22	3.0280203877416803e-20	True
4	ENSG00000258616.5	1.034589516140889	3.523091518505751e-27	2.485008505959987e-24	True
4	ENSG00000096006.12	1.0182955061117418	9.466001965175308e-18	8.557491493405875e-16	True
4	ENSG00000258837.1	1.0171502617134593	2.1520643871365883e-21	4.596627666327656e-19	True
4	ENSG00000143556.9	0.9795827229372991	5.779752294263843e-13	1.8900257367657397e-11	True
4	ENSG00000248359.2	0.956503246698149	1.024807607025801e-40	1.554120736054627e-36	True
4	ENSG00000171124.13	0.9538914352309829	3.081733468613461e-26	1.7803614495818336e-23	True
4	ENSG00000135226.18	0.9475756613506963	4.753245485689349e-23	1.4344869212035617e-20	True
4	ENSG00000176887.7	0.9362411575788547	2.627255661358795e-24	1.0348657689482111e-21	True
4	ENSG00000095627.9	0.9336597615218534	3.248154007791843e-19	4.0793586358727374e-17	True
4	ENSG00000144452.15	0.909762871475426	3.87824144179175e-26	2.1582947326521797e-23	True
4	ENSG00000198074.10	0.9091223985346463	3.932698819758921e-20	6.024179555721619e-18	True
